KEY_CODE,HYOSYO,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,人口総数,男,女,世帯総数
39201,1,高知市,,0,,,326545,152455,174090,154171
392010010,3,高知市,上町,0,,,3037,1321,1716,1654
39201001001,4,高知市,上町一丁目,0,,,952,410,542,430
39201001002,4,高知市,上町二丁目,0,,,457,211,246,299
39201001003,4,高知市,上町三丁目,0,,,764,325,439,435
39201001004,4,高知市,上町四丁目,0,,,551,244,307,331
39201001005,4,高知市,上町五丁目,0,,,313,131,182,159
392010020,2,高知市,本丁筋,0,,,46,23,23,25
392010030,2,高知市,水通町,0,,,19,11,8,12
392010040,2,高知市,通町,0,,,184,80,104,91
392010050,2,高知市,唐人町,0,,,450,217,233,283
392010060,2,高知市,与力町,0,,,478,230,248,299
392010070,3,高知市,鷹匠町,0,,,815,357,458,430
39201007001,4,高知市,鷹匠町一丁目,0,,,409,176,233,236
39201007002,4,高知市,鷹匠町二丁目,0,,,406,181,225,194
392010080,3,高知市,本町,0,,,1331,551,780,743
39201008001,4,高知市,本町一丁目,0,,,257,114,143,158
39201008002,4,高知市,本町二丁目,0,,,134,63,71,95
39201008003,4,高知市,本町三丁目,0,,,442,170,272,260
39201008004,4,高知市,本町四丁目,0,,,78,32,46,40
39201008005,4,高知市,本町五丁目,0,,,420,172,248,190
392010090,2,高知市,升形,0,,,594,256,338,347
392010100,3,高知市,帯屋町,0,,,404,143,261,164
39201010001,4,高知市,帯屋町一丁目,0,,,70,24,46,31
39201010002,4,高知市,帯屋町二丁目,0,,,334,119,215,133
392010110,3,高知市,追手筋,0,,,134,58,76,78
39201011001,4,高知市,追手筋一丁目,0,,,66,35,31,28
39201011002,4,高知市,追手筋二丁目,0,,,68,23,45,50
392010120,2,高知市,廿代町,0,,,795,375,420,539
392010130,2,高知市,永国寺町,0,,,412,188,224,225
392010140,3,高知市,丸ノ内,0,,,278,131,147,154
39201014001,4,高知市,丸ノ内一丁目,0,,,107,50,57,61
39201014002,4,高知市,丸ノ内二丁目,0,,,171,81,90,93
392010150,2,高知市,中の島,0,,,422,185,237,241
392010160,2,高知市,九反田,0,,,940,390,550,487
392010170,2,高知市,菜園場町,0,,,215,95,120,120
392010180,2,高知市,農人町,0,,,317,152,165,190
392010190,2,高知市,城見町,0,,,441,192,249,161
392010200,2,高知市,堺町,0,,,258,125,133,177
392010210,3,高知市,南はりまや町,0,,,768,358,410,483
39201021001,4,高知市,南はりまや町一丁目,0,,,350,160,190,228
39201021002,4,高知市,南はりまや町二丁目,0,,,418,198,220,255
392010220,2,高知市,弘化台,0,,,89,45,44,44
392010230,3,高知市,桜井町,0,,,2312,1097,1215,1332
39201023001,4,高知市,桜井町一丁目,0,,,1097,497,600,620
39201023002,4,高知市,桜井町二丁目,0,,,1215,600,615,712
392010240,3,高知市,はりまや町,0,,,1336,635,701,830
